student_key,student_slu_id,first_name,last_name,gender,date_of_birth,email,phone,country_of_origin,visa_status,work_authorization_flag,program_code,program_name,admission_year,admission_term,graduation_term,graduation_year,gpa,linkedin_url,current_city
1,SLU00001,First1,Last1,Male,1986-04-23,student1@slu.edu,+1-314-555-0001,USA,GreenCard,1,IS,MS Information Systems,2021,Spring,Spring,2021,2.51,https://linkedin.com/in/student1,Chicago
2,SLU00002,First2,Last2,Male,1986-04-22,student2@slu.edu,+1-314-555-0002,China,Citizen,0,AI,MS Artificial Intelligence,2022,Summer,Summer,2022,2.52,https://linkedin.com/in/student2,Dallas
3,SLU00003,First3,Last3,Male,1986-04-21,student3@slu.edu,+1-314-555-0003,Nigeria,F1,1,ML,MS Machine Learning,2023,Fall,Fall,2023,2.53,https://linkedin.com/in/student3,New York
4,SLU00004,First4,Last4,Male,1986-04-20,student4@slu.edu,+1-314-555-0004,Brazil,GreenCard,0,CYS,MS Cyber Security,2024,Spring,Spring,2024,2.54,https://linkedin.com/in/student4,Seattle
5,SLU00005,First5,Last5,Male,1986-04-19,student5@slu.edu,+1-314-555-0005,Vietnam,Citizen,1,BA,MS Business Analytics,2025,Summer,Summer,2025,2.55,https://linkedin.com/in/student5,Austin
6,SLU00006,First6,Last6,Male,1986-04-18,student6@slu.edu,+1-314-555-0006,Iran,F1,0,DA,MS Data Analytics,2020,Fall,Fall,2020,2.56,https://linkedin.com/in/student6,Atlanta
7,SLU00007,First7,Last7,Male,1986-04-17,student7@slu.edu,+1-314-555-0007,Turkey,GreenCard,1,ST,MS Statistics,2021,Spring,Spring,2021,2.57,https://linkedin.com/in/student7,San Jose
8,SLU00008,First8,Last8,Male,1986-04-16,student8@slu.edu,+1-314-555-0008,Kenya,Citizen,0,CS,MS Computer Science,2022,Summer,Summer,2022,2.58,https://linkedin.com/in/student8,Boston
9,SLU00009,First9,Last9,Male,1986-04-15,student9@slu.edu,+1-314-555-0009,Mexico,F1,1,IS,MS Information Systems,2023,Fall,Fall,2023,2.59,https://linkedin.com/in/student9,Phoenix
10,SLU00010,First10,Last10,Male,1986-04-14,student10@slu.edu,+1-314-555-0010,India,GreenCard,0,AI,MS Artificial Intelligence,2024,Spring,Spring,2024,2.60,https://linkedin.com/in/student10,St. Louis
11,SLU00011,First11,Last11,Male,1986-04-13,student11@slu.edu,+1-314-555-0011,USA,Citizen,1,ML,MS Machine Learning,2025,Summer,Summer,2025,2.61,https://linkedin.com/in/student11,Chicago
12,SLU00012,First12,Last12,Male,1986-04-12,student12@slu.edu,+1-314-555-0012,China,F1,0,CYS,MS Cyber Security,2020,Fall,Fall,2020,2.62,https://linkedin.com/in/student12,Dallas
13,SLU00013,First13,Last13,Male,1986-04-11,student13@slu.edu,+1-314-555-0013,Nigeria,GreenCard,1,BA,MS Business Analytics,2021,Spring,Spring,2021,2.63,https://linkedin.com/in/student13,New York
14,SLU00014,First14,Last14,Male,1986-04-10,student14@slu.edu,+1-314-555-0014,Brazil,Citizen,0,DA,MS Data Analytics,2022,Summer,Summer,2022,2.64,https://linkedin.com/in/student14,Seattle
15,SLU00015,First15,Last15,Male,1986-04-09,student15@slu.edu,+1-314-555-0015,Vietnam,F1,1,ST,MS Statistics,2023,Fall,Fall,2023,2.65,https://linkedin.com/in/student15,Austin
16,SLU00016,First16,Last16,Male,1986-04-08,student16@slu.edu,+1-314-555-0016,Iran,GreenCard,0,CS,MS Computer Science,2024,Spring,Spring,2024,2.66,https://linkedin.com/in/student16,Atlanta
17,SLU00017,First17,Last17,Male,1986-04-07,student17@slu.edu,+1-314-555-0017,Turkey,Citizen,1,IS,MS Information Systems,2025,Summer,Summer,2025,2.67,https://linkedin.com/in/student17,San Jose
18,SLU00018,First18,Last18,Male,1986-04-06,student18@slu.edu,+1-314-555-0018,Kenya,F1,0,AI,MS Artificial Intelligence,2020,Fall,Fall,2020,2.68,https://linkedin.com/in/student18,Boston
