contact_key,contact_employee_id,employer_key,first_name,last_name,title,email,phone,linkedin_url,department,role_type,is_alumni_flag,alumni_student_key,relationship_start_date,relationship_status,preferred_contact_method,notes,created_at,updated_at,source
1,E1-C1,1,ContactFirst1,ContactLast1,"Sr Recruiter",contact1@company1.com,+1-636-555-0001,https://linkedin.com/in/contact1,TA,HiringManager,1,1,2020-01-02,Dormant,Phone,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Referral
2,E2-C2,2,ContactFirst2,ContactLast2,"Talent Partner",contact2@company2.com,+1-636-555-0002,https://linkedin.com/in/contact2,Engineering,Alumni,0,2,2020-01-03,DoNotContact,LinkedIn,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Cold
3,E3-C3,3,ContactFirst3,ContactLast3,"Engineering Manager",contact3@company3.com,+1-636-555-0003,https://linkedin.com/in/contact3,Data,HR,1,3,2020-01-04,Active,Other,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Event
4,E4-C4,4,ContactFirst4,ContactLast4,"Data Manager",contact4@company4.com,+1-636-555-0004,https://linkedin.com/in/contact4,IT,Other,0,4,2020-01-05,Dormant,Email,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Other
5,E5-C5,5,ContactFirst5,ContactLast5,"Director HR",contact5@company5.com,+1-636-555-0005,https://linkedin.com/in/contact5,Operations,Recruiter,1,5,2020-01-06,DoNotContact,Phone,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",CareerFair
6,E6-C6,6,ContactFirst6,ContactLast6,Recruiter,contact6@company6.com,+1-636-555-0006,https://linkedin.com/in/contact6,HR,HiringManager,0,6,2020-01-07,Active,LinkedIn,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Referral
7,E7-C7,7,ContactFirst7,ContactLast7,"Sr Recruiter",contact7@company7.com,+1-636-555-0007,https://linkedin.com/in/contact7,TA,Alumni,1,7,2020-01-08,Dormant,Other,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Cold
8,E8-C8,8,ContactFirst8,ContactLast8,"Talent Partner",contact8@company8.com,+1-636-555-0008,https://linkedin.com/in/contact8,Engineering,HR,0,8,2020-01-09,DoNotContact,Email,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Event
9,E9-C9,9,ContactFirst9,ContactLast9,"Engineering Manager",contact9@company9.com,+1-636-555-0009,https://linkedin.com/in/contact9,Data,Other,1,9,2020-01-10,Active,Phone,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Other
10,E10-C10,10,ContactFirst10,ContactLast10,"Data Manager",contact10@company10.com,+1-636-555-0010,https://linkedin.com/in/contact10,IT,Recruiter,0,10,2020-01-11,Dormant,LinkedIn,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",CareerFair
11,E11-C11,11,ContactFirst11,ContactLast11,"Director HR",contact11@company11.com,+1-636-555-0011,https://linkedin.com/in/contact11,Operations,HiringManager,1,11,2020-01-12,DoNotContact,Other,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Referral
12,E12-C12,12,ContactFirst12,ContactLast12,Recruiter,contact12@company12.com,+1-636-555-0012,https://linkedin.com/in/contact12,HR,Alumni,0,12,2020-01-13,Active,Email,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Cold
13,E13-C13,13,ContactFirst13,ContactLast13,"Sr Recruiter",contact13@company13.com,+1-636-555-0013,https://linkedin.com/in/contact13,TA,HR,1,13,2020-01-14,Dormant,Phone,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Event
14,E14-C14,14,ContactFirst14,ContactLast14,"Talent Partner",contact14@company14.com,+1-636-555-0014,https://linkedin.com/in/contact14,Engineering,Other,0,14,2020-01-15,DoNotContact,LinkedIn,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Other
15,E15-C15,15,ContactFirst15,ContactLast15,"Engineering Manager",contact15@company15.com,+1-636-555-0015,https://linkedin.com/in/contact15,Data,Recruiter,1,15,2020-01-16,Active,Other,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",CareerFair
16,E16-C16,16,ContactFirst16,ContactLast16,"Data Manager",contact16@company16.com,+1-636-555-0016,https://linkedin.com/in/contact16,IT,HiringManager,0,16,2020-01-17,Dormant,Email,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Referral
17,E17-C17,17,ContactFirst17,ContactLast17,"Director HR",contact17@company17.com,+1-636-555-0017,https://linkedin.com/in/contact17,Operations,Alumni,1,17,2020-01-18,DoNotContact,Phone,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Cold
18,E18-C18,18,ContactFirst18,ContactLast18,Recruiter,contact18@company18.com,+1-636-555-0018,https://linkedin.com/in/contact18,HR,HR,0,18,2020-01-19,Active,LinkedIn,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Event
19,E19-C19,19,ContactFirst19,ContactLast19,"Sr Recruiter",contact19@company19.com,+1-636-555-0019,https://linkedin.com/in/contact19,TA,Other,1,19,2020-01-20,Dormant,Other,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Other
20,E20-C20,20,ContactFirst20,ContactLast20,"Talent Partner",contact20@company20.com,+1-636-555-0020,https://linkedin.com/in/contact20,Engineering,Recruiter,0,20,2020-01-21,DoNotContact,Email,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",CareerFair
21,E21-C21,21,ContactFirst21,ContactLast21,"Engineering Manager",contact21@company21.com,+1-636-555-0021,https://linkedin.com/in/contact21,Data,HiringManager,1,21,2020-01-22,Active,Phone,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Referral
22,E22-C22,22,ContactFirst22,ContactLast22,"Data Manager",contact22@company22.com,+1-636-555-0022,https://linkedin.com/in/contact22,IT,Alumni,0,22,2020-01-23,Dormant,LinkedIn,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Cold
23,E23-C23,23,ContactFirst23,ContactLast23,"Director HR",contact23@company23.com,+1-636-555-0023,https://linkedin.com/in/contact23,Operations,HR,1,23,2020-01-24,DoNotContact,Other,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Event
24,E24-C24,24,ContactFirst24,ContactLast24,Recruiter,contact24@company24.com,+1-636-555-0024,https://linkedin.com/in/contact24,HR,Other,0,24,2020-01-25,Active,Email,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Other
25,E25-C25,25,ContactFirst25,ContactLast25,"Sr Recruiter",contact25@company25.com,+1-636-555-0025,https://linkedin.com/in/contact25,TA,Recruiter,1,25,2020-01-26,Dormant,Phone,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",CareerFair
26,E26-C26,26,ContactFirst26,ContactLast26,"Talent Partner",contact26@company26.com,+1-636-555-0026,https://linkedin.com/in/contact26,Engineering,HiringManager,0,26,2020-01-27,DoNotContact,LinkedIn,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Referral
27,E27-C27,27,ContactFirst27,ContactLast27,"Engineering Manager",contact27@company27.com,+1-636-555-0027,https://linkedin.com/in/contact27,Data,Alumni,1,27,2020-01-28,Active,Other,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Cold
28,E28-C28,28,ContactFirst28,ContactLast28,"Data Manager",contact28@company28.com,+1-636-555-0028,https://linkedin.com/in/contact28,IT,HR,0,28,2020-01-29,Dormant,Email,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Event
29,E29-C29,29,ContactFirst29,ContactLast29,"Director HR",contact29@company29.com,+1-636-555-0029,https://linkedin.com/in/contact29,Operations,Other,1,29,2020-01-30,DoNotContact,Phone,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Other
30,E30-C30,30,ContactFirst30,ContactLast30,Recruiter,contact30@company30.com,+1-636-555-0030,https://linkedin.com/in/contact30,HR,Recruiter,0,30,2020-01-31,Active,LinkedIn,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",CareerFair
31,E31-C31,31,ContactFirst31,ContactLast31,"Sr Recruiter",contact31@company31.com,+1-636-555-0031,https://linkedin.com/in/contact31,TA,HiringManager,1,31,2020-02-01,Dormant,Other,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Referral
32,E32-C32,32,ContactFirst32,ContactLast32,"Talent Partner",contact32@company32.com,+1-636-555-0032,https://linkedin.com/in/contact32,Engineering,Alumni,0,32,2020-02-02,DoNotContact,Email,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Cold
33,E33-C33,33,ContactFirst33,ContactLast33,"Engineering Manager",contact33@company33.com,+1-636-555-0033,https://linkedin.com/in/contact33,Data,HR,1,33,2020-02-03,Active,Phone,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Event
34,E34-C34,34,ContactFirst34,ContactLast34,"Data Manager",contact34@company34.com,+1-636-555-0034,https://linkedin.com/in/contact34,IT,Other,0,34,2020-02-04,Dormant,LinkedIn,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Other
35,E35-C35,35,ContactFirst35,ContactLast35,"Director HR",contact35@company35.com,+1-636-555-0035,https://linkedin.com/in/contact35,Operations,Recruiter,1,35,2020-02-05,DoNotContact,Other,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",CareerFair
36,E36-C36,36,ContactFirst36,ContactLast36,Recruiter,contact36@company36.com,+1-636-555-0036,https://linkedin.com/in/contact36,HR,HiringManager,0,36,2020-02-06,Active,Email,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Referral
37,E37-C37,37,ContactFirst37,ContactLast37,"Sr Recruiter",contact37@company37.com,+1-636-555-0037,https://linkedin.com/in/contact37,TA,Alumni,1,37,2020-02-07,Dormant,Phone,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Cold
38,E38-C38,38,ContactFirst38,ContactLast38,"Talent Partner",contact38@company38.com,+1-636-555-0038,https://linkedin.com/in/contact38,Engineering,HR,0,38,2020-02-08,DoNotContact,LinkedIn,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Event
39,E39-C39,39,ContactFirst39,ContactLast39,"Engineering Manager",contact39@company39.com,+1-636-555-0039,https://linkedin.com/in/contact39,Data,Other,1,39,2020-02-09,Active,Other,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Other
40,E40-C40,40,ContactFirst40,ContactLast40,"Data Manager",contact40@company40.com,+1-636-555-0040,https://linkedin.com/in/contact40,IT,Recruiter,0,40,2020-02-10,Dormant,Email,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",CareerFair
41,E41-C41,41,ContactFirst41,ContactLast41,"Director HR",contact41@company41.com,+1-636-555-0041,https://linkedin.com/in/contact41,Operations,HiringManager,1,41,2020-02-11,DoNotContact,Phone,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Referral
42,E42-C42,42,ContactFirst42,ContactLast42,Recruiter,contact42@company42.com,+1-636-555-0042,https://linkedin.com/in/contact42,HR,Alumni,0,42,2020-02-12,Active,LinkedIn,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Cold
43,E43-C43,43,ContactFirst43,ContactLast43,"Sr Recruiter",contact43@company43.com,+1-636-555-0043,https://linkedin.com/in/contact43,TA,HR,1,43,2020-02-13,Dormant,Other,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Event
44,E44-C44,44,ContactFirst44,ContactLast44,"Talent Partner",contact44@company44.com,+1-636-555-0044,https://linkedin.com/in/contact44,Engineering,Other,0,44,2020-02-14,DoNotContact,Email,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Other
45,E45-C45,45,ContactFirst45,ContactLast45,"Engineering Manager",contact45@company45.com,+1-636-555-0045,https://linkedin.com/in/contact45,Data,Recruiter,1,45,2020-02-15,Active,Phone,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",CareerFair
46,E46-C46,46,ContactFirst46,ContactLast46,"Data Manager",contact46@company46.com,+1-636-555-0046,https://linkedin.com/in/contact46,IT,HiringManager,0,46,2020-02-16,Dormant,LinkedIn,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Referral
47,E47-C47,47,ContactFirst47,ContactLast47,"Director HR",contact47@company47.com,+1-636-555-0047,https://linkedin.com/in/contact47,Operations,Alumni,1,47,2020-02-17,DoNotContact,Other,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Cold
48,E48-C48,48,ContactFirst48,ContactLast48,Recruiter,contact48@company48.com,+1-636-555-0048,https://linkedin.com/in/contact48,HR,HR,0,48,2020-02-18,Active,Email,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Event
49,E49-C49,49,ContactFirst49,ContactLast49,"Sr Recruiter",contact49@company49.com,+1-636-555-0049,https://linkedin.com/in/contact49,TA,Other,1,49,2020-02-19,Dormant,Phone,"No notes","2025-11-07 07:53:57","2025-11-07 07:53:57",Other
